"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"scratch",202482541,,"verb.social",41,"v","call off#1(call_off%2:41:00::),cancel#1(cancel%2:41:03::),scrub#3(scrub%2:41:00::),scratch#4(scratch%2:41:00::)","postpone indefinitely or annul something that was scheduled","Call off the engagement|cancel the dinner party|we had to scrub our vacation plans|scratch that meeting--the chair is ill","call off,cancel,scrub,scratch",4,21,"entail",200796783,"verb.communication",32,"v","schedule#2(schedule%2:32:00::)","make a schedule; plan the time and place for events","I scheduled an exam for this afternoon","schedule"
"respire",200001740,,"verb.body",29,"v","breathe#1(breathe%2:29:00::),take a breath#1(take_a_breath%2:29:00::),suspire#2(suspire%2:29:03::),respire#3(respire%2:29:00::)","draw air into, and expel out of, the lungs","I can breathe better when the air is clean|The patient is respiring","breathe,take a breath,suspire,respire",3,21,"entail",200004227,"verb.body",29,"v","breathe out#1(breathe_out%2:29:00::),exhale#1(exhale%2:29:00::),expire#3(expire%2:29:00::)","expel air","Exhale when you lift the weight","breathe out,exhale,expire"
"dispute",200870932,4,"verb.communication",32,"v","challenge#1(challenge%2:32:01::),gainsay#1(gainsay%2:32:00::),dispute#1(dispute%2:32:00::)","take exception to","She challenged his claims","challenge,gainsay,dispute",1,21,"entail",200869215,"verb.communication",32,"v","call into question#1(call_into_question%2:32:00::),question#1(question%2:32:01::),oppugn#1(oppugn%2:32:00::)","challenge the accuracy, probity, or propriety of","We must question your judgment in this matter","call into question,question,oppugn"
"puzzle out",200636784,2,"verb.cognition",31,"v","figure out#1(figure_out%2:31:00::),puzzle out#1(puzzle_out%2:31:00::),solve#1(solve%2:31:00::),lick#3(lick%2:31:00::),work out#7(work_out%2:31:04::),work#24(work%2:31:13::)","find the solution to (a problem or question) or understand the meaning of","did you solve the problem?|Work out your problems with the boss|this unpleasant situation isn't going to work itself out|did you get it?|Did you get my meaning?|He could not work the math problem","figure out,puzzle out,solve,lick,work out,work",1,21,"entail",200634505,"verb.cognition",31,"v","reason#3(reason%2:31:00::)","think logically","The children must learn to reason","reason"
"sell up",202251747,,"verb.possession",40,"v","liquidize#1(liquidize%2:40:00::),sell up#1(sell_up%2:40:00::),sell out#1(sell_out%2:40:00::)","sell or get rid of all one's merchandise","","liquidize,sell up,sell out",1,21,"entail",202246627,"verb.possession",40,"v","sell#1(sell%2:40:00::)","exchange or deliver for money or its equivalent","He sold his house in January|She sells her body to survive and support her drug habit","sell"
"veto",202478217,1,"verb.social",41,"v","negative#1(negative%2:41:00::),veto#1(veto%2:41:00::),blackball#2(blackball%2:41:01::)","vote against; refuse to endorse; refuse to assent","The President vetoed the bill","negative,veto,blackball",1,21,"entail",202467190,"verb.social",41,"v","vote#3(vote%2:41:11::)","express a choice or opinion","I vote that we all go home|She voted for going to the Chinese restaurant","vote"
"locate",200414832,4,"verb.change",30,"v","settle#4(settle%2:30:00::),locate#4(locate%2:30:00::)","take up residence and become established","The immigrants settled in the Midwest","settle,locate",4,21,"entail",201859124,"verb.motion",38,"v","move#4(move%2:38:02::)","change residence, affiliation, or place of employment","We moved from Idaho to Nebraska|The basketball player moved from one team to another","move"
"boom",202775732,,"verb.weather",43,"v","thunder#3(thunder%2:43:00::),boom#3(boom%2:43:00::)","be the case that thunder is being heard","Whenever it thunders, my dog crawls under the bed","thunder,boom",3,21,"entail",202775097,"verb.weather",43,"v","storm#4(storm%2:43:00::)","blow hard","It was storming all night","storm"
"succeed",202529200,28,"verb.social",41,"v","succeed#1(succeed%2:41:00::),deliver the goods#1(deliver_the_goods%2:41:00::),bring home the bacon#1(bring_home_the_bacon%2:41:00::),win#4(win%2:41:04::),come through#4(come_through%2:41:00::)","attain success or reach a desired goal","The enterprise succeeded|We succeeded in getting tickets to the show|she struggled to overcome her handicap and won","succeed,deliver the goods,bring home the bacon,win,come through",1,21,"entail",202535196,"verb.social",41,"v","essay#1(essay%2:41:00::),try#1(try%2:41:00::),attempt#1(attempt%2:41:00::),assay#2(assay%2:41:00::),seek#3(seek%2:41:00::)","make an effort or attempt","He tried to shake off his fears|The infant had essayed a few wobbly steps|He sought to improve himself|She always seeks to do good in the world|The police attempted to stop the thief","essay,try,attempt,assay,seek"
"set back",202648137,1,"verb.stative",42,"v","defer#1(defer%2:42:00::),prorogue#1(prorogue%2:42:00::),set back#1(set_back%2:42:01::),shelve#1(shelve%2:42:00::),put off#1(put_off%2:42:00::),table#1(table%2:42:00::),postpone#1(postpone%2:42:00::),put over#2(put_over%2:42:00::),remit#2(remit%2:42:00::),hold over#5(hold_over%2:42:02::)","hold back to a later time","let's postpone the exam","defer,prorogue,set back,shelve,put off,table,postpone,put over,remit,hold over",1,21,"entail",200797277,"verb.communication",32,"v","reschedule#1(reschedule%2:32:00::)","assign a new time and place for an event","We had to reschedule the doctor's appointment","reschedule"
"put over",202648137,,"verb.stative",42,"v","defer#1(defer%2:42:00::),prorogue#1(prorogue%2:42:00::),set back#1(set_back%2:42:01::),shelve#1(shelve%2:42:00::),put off#1(put_off%2:42:00::),table#1(table%2:42:00::),postpone#1(postpone%2:42:00::),put over#2(put_over%2:42:00::),remit#2(remit%2:42:00::),hold over#5(hold_over%2:42:02::)","hold back to a later time","let's postpone the exam","defer,prorogue,set back,shelve,put off,table,postpone,put over,remit,hold over",2,21,"entail",202482541,"verb.social",41,"v","call off#1(call_off%2:41:00::),cancel#1(cancel%2:41:03::),scrub#3(scrub%2:41:00::),scratch#4(scratch%2:41:00::)","postpone indefinitely or annul something that was scheduled","Call off the engagement|cancel the dinner party|we had to scrub our vacation plans|scratch that meeting--the chair is ill","call off,cancel,scrub,scratch"
"put over",202648137,,"verb.stative",42,"v","defer#1(defer%2:42:00::),prorogue#1(prorogue%2:42:00::),set back#1(set_back%2:42:01::),shelve#1(shelve%2:42:00::),put off#1(put_off%2:42:00::),table#1(table%2:42:00::),postpone#1(postpone%2:42:00::),put over#2(put_over%2:42:00::),remit#2(remit%2:42:00::),hold over#5(hold_over%2:42:02::)","hold back to a later time","let's postpone the exam","defer,prorogue,set back,shelve,put off,table,postpone,put over,remit,hold over",2,21,"entail",200797277,"verb.communication",32,"v","reschedule#1(reschedule%2:32:00::)","assign a new time and place for an event","We had to reschedule the doctor's appointment","reschedule"
"pelt",201123732,1,"verb.competition",33,"v","pelt#2(pelt%2:33:00::),pepper#2(pepper%2:33:00::)","attack and bombard with or as if with missiles","pelt the speaker with questions","pelt,pepper",2,21,"entail",201510369,"verb.contact",35,"v","throw#1(throw%2:35:00::)","propel through the air","throw a frisbee","throw"
"initial",200999343,,"verb.communication",32,"v","initial#1(initial%2:32:00::)","mark with one's initials","","initial",1,21,"entail",200808304,"verb.communication",32,"v","approve#1(approve%2:32:00::),sanction#1(sanction%2:32:01::),O.K.#1(o.k.%2:32:00::),okay#1(okay%2:32:00::)","give sanction to","I approve of his educational policies","approve,sanction,O.K.,okay"
"ice up",202763778,,"verb.weather",43,"v","frost over#1(frost_over%2:43:00::),ice up#1(ice_up%2:43:00::),ice over#1(ice_over%2:43:00::)","become covered with a layer of ice; of a surface such as a window","When the wings iced up, the pilot was forced to land his plane","frost over,ice up,ice over",1,21,"entail",202764023,"verb.weather",43,"v","freeze#6(freeze%2:43:10::)","be very cold, below the freezing point","It is freezing in Kalamazoo","freeze"
"shelve",202648137,1,"verb.stative",42,"v","defer#1(defer%2:42:00::),prorogue#1(prorogue%2:42:00::),set back#1(set_back%2:42:01::),shelve#1(shelve%2:42:00::),put off#1(put_off%2:42:00::),table#1(table%2:42:00::),postpone#1(postpone%2:42:00::),put over#2(put_over%2:42:00::),remit#2(remit%2:42:00::),hold over#5(hold_over%2:42:02::)","hold back to a later time","let's postpone the exam","defer,prorogue,set back,shelve,put off,table,postpone,put over,remit,hold over",1,21,"entail",202482541,"verb.social",41,"v","call off#1(call_off%2:41:00::),cancel#1(cancel%2:41:03::),scrub#3(scrub%2:41:00::),scratch#4(scratch%2:41:00::)","postpone indefinitely or annul something that was scheduled","Call off the engagement|cancel the dinner party|we had to scrub our vacation plans|scratch that meeting--the chair is ill","call off,cancel,scrub,scratch"
"gazump",202323411,,"verb.possession",40,"v","fleece#1(fleece%2:40:00::),gazump#1(gazump%2:40:00::),overcharge#1(overcharge%2:40:00::),plume#1(plume%2:40:00::),hook#2(hook%2:40:02::),surcharge#2(surcharge%2:40:00::),soak#2(soak%2:40:00::),rob#2(rob%2:40:01::),pluck#3(pluck%2:40:00::)","rip off; ask an unreasonable price","","fleece,gazump,overcharge,plume,hook,surcharge,soak,rob,pluck",1,21,"entail",202324735,"verb.possession",40,"v","bill#1(bill%2:40:00::),charge#3(charge%2:40:03::)","demand payment","Will I get charged for this service?|We were billed for 4 nights in the hotel, although we stayed only 3 nights","bill,charge"
"penalize",202504641,3,"verb.social",41,"v","penalise#1(penalise%2:41:00::),punish#1(punish%2:41:00::),penalize#1(penalize%2:41:00::)","impose a penalty on; inflict punishment on","we had to punish the dog for soiling the floor again|The students were penalized for showing up late for class","penalise,punish,penalize",1,21,"entail",200674051,"verb.cognition",31,"v","gauge#1(gauge%2:31:00::),estimate#1(estimate%2:31:00::),approximate#2(approximate%2:31:00::),judge#3(judge%2:31:01::),guess#3(guess%2:31:01::)","judge tentatively or form an estimate of (quantities or time)","I estimate this chicken to weigh three pounds","gauge,estimate,approximate,judge,guess"
"severalise",200651705,,"verb.cognition",31,"v","secern#1(secern%2:31:01::),differentiate#1(differentiate%2:31:01::),secernate#1(secernate%2:31:00::),distinguish#1(distinguish%2:31:00::),tell apart#2(tell_apart%2:31:00::),severalise#2(severalise%2:31:00::),severalize#2(severalize%2:31:00::),separate#3(separate%2:31:01::),tell#8(tell%2:31:01::)","mark as different","We distinguish several kinds of maple","secern,differentiate,secernate,distinguish,tell apart,severalise,severalize,separate,tell",2,21,"entail",200654270,"verb.cognition",31,"v","compare#1(compare%2:31:00::)","examine and note the similarities or differences of","John compared his haircut to his friend's|We compared notes after we had both seen the movie","compare"
"examine",202135076,11,"verb.perception",39,"v","examine#2(examine%2:39:00::),see#20(see%2:39:13::)","observe, check out, and look over carefully or inspect","The customs agent examined the baggage|I must see your passport before you can enter the country","examine,see",2,21,"entail",202134321,"verb.perception",39,"v","look#1(look%2:39:00::)","perceive with attention; direct one's gaze towards","She looked over the expanse of land|Look--a deer in the backyard!|Look at your child!","look"
"crank",201994976,,"verb.motion",38,"v","zigzag#1(zigzag%2:38:00::),crank#1(crank%2:38:01::)","travel along a zigzag path","The river zigzags through the countryside","zigzag,crank",1,21,"entail",201910783,"verb.motion",38,"v","turn#1(turn%2:38:00::)","change orientation or direction, also in the abstract sense","Turn towards me|The mugger turned and fled before I could see his face|She turned from herself and learned to listen to others' needs","turn"
"discern",202197021,7,"verb.perception",39,"v","tell apart#1(tell_apart%2:39:00::),discern#1(discern%2:39:00::),make out#1(make_out%2:39:00::),spot#2(spot%2:39:02::),distinguish#2(distinguish%2:39:00::),pick out#2(pick_out%2:39:00::),recognize#3(recognize%2:39:01::),recognise#3(recognise%2:39:01::)","detect with the senses","I can't make out the faces in this photograph|The fleeing convicts were picked out of the darkness by the watchful prison guards","tell apart,discern,make out,spot,distinguish,pick out,recognize,recognise",1,21,"entail",202110292,"verb.perception",39,"v","perceive#1(perceive%2:39:00::),comprehend#2(comprehend%2:39:00::)","to become aware of through the senses","I could perceive the ship coming over the horizon","perceive,comprehend"
"buy",202211369,102,"verb.possession",40,"v","purchase#1(purchase%2:40:00::),buy#1(buy%2:40:00::)","obtain by purchase; acquire by means of a financial transaction","The family purchased a new car|The conglomerate acquired a new company|She buys for the big department store","purchase,buy",1,21,"entail",200676225,"verb.cognition",31,"v","choose#1(choose%2:31:00::),pick out#1(pick_out%2:31:00::),select#1(select%2:31:00::),take#10(take%2:31:01::)","pick out, select, or choose from a number of alternatives","Take any one of these cards|Choose a good husband for your daughter|She selected a pair of shoes from among the dozen the salesgirl had shown her","choose,pick out,select,take"
"sit down",201545443,1,"verb.contact",35,"v","sit#1(sit%2:35:00::),sit down#3(sit_down%2:35:03::)","be seated","","sit,sit down",3,21,"entail",201988116,"verb.motion",38,"v","sit down#1(sit_down%2:38:00::),sit#3(sit%2:38:00::)","take a seat","","sit down,sit"
"have",202111812,220,"verb.perception",39,"v","experience#3(experience%2:39:00::),have#3(have%2:39:06::),receive#4(receive%2:39:03::),get#7(get%2:39:00::)","go through (mental or physical states or experiences)","get an idea|experience vertigo|get nauseous|receive injuries|have a feeling","experience,have,receive,get",3,21,"entail",202110292,"verb.perception",39,"v","perceive#1(perceive%2:39:00::),comprehend#2(comprehend%2:39:00::)","to become aware of through the senses","I could perceive the ship coming over the horizon","perceive,comprehend"
"call up",200791250,1,"verb.communication",32,"v","phone#1(phone%2:32:00::),telephone#1(telephone%2:32:00::),call up#2(call_up%2:32:00::),call#3(call%2:32:01::),ring#4(ring%2:32:00::)","get or try to get into communication (with someone) by telephone","I tried to call you all night|Take two aspirin and call me in the morning","phone,telephone,call up,call,ring",2,21,"entail",200792110,"verb.communication",32,"v","dial#1(dial%2:32:00::)","operate a dial to select a telephone number","You must take the receiver off the hook before you dial","dial"
"gulp",201204682,5,"verb.consumption",34,"v","gulp#1(gulp%2:34:01::),quaff#1(quaff%2:34:00::),swig#2(swig%2:34:00::)","to swallow hurriedly or greedily or in one draught","The men gulped down their beers","gulp,quaff,swig",1,21,"entail",201204488,"verb.consumption",34,"v","swallow#1(swallow%2:34:00::),get down#4(get_down%2:34:00::)","pass through the esophagus as part of eating or drinking","Swallow the raw fish--it won't kill you!","swallow,get down"
"undercut",202355844,,"verb.possession",40,"v","undercut#1(undercut%2:40:00::),undersell#1(undersell%2:40:00::)","sell cheaper than one's competition","","undercut,undersell",1,21,"entail",202323789,"verb.possession",40,"v","discount#2(discount%2:40:00::)","give a reduction in price on","I never discount these books-they sell like hot cakes","discount"
"sit",201545443,134,"verb.contact",35,"v","sit#1(sit%2:35:00::),sit down#3(sit_down%2:35:03::)","be seated","","sit,sit down",1,21,"entail",201988116,"verb.motion",38,"v","sit down#1(sit_down%2:38:00::),sit#3(sit%2:38:00::)","take a seat","","sit down,sit"
"suspend",202507049,2,"verb.social",41,"v","debar#1(debar%2:41:05::),suspend#3(suspend%2:41:00::)","bar temporarily; from school, office, etc.","","debar,suspend",3,21,"entail",202504641,"verb.social",41,"v","penalise#1(penalise%2:41:00::),punish#1(punish%2:41:00::),penalize#1(penalize%2:41:00::)","impose a penalty on; inflict punishment on","we had to punish the dog for soiling the floor again|The students were penalized for showing up late for class","penalise,punish,penalize"
"take on",201081851,1,"verb.competition",33,"v","encounter#5(encounter%2:33:00::),take on#5(take_on%2:33:01::),meet#8(meet%2:33:00::),play#34(play%2:33:02::)","contend against an opponent in a sport, game, or battle","Charlie likes to play Mary|Princeton plays Yale this weekend","encounter,take on,meet,play",5,21,"entail",201074651,"verb.competition",33,"v","compete#1(compete%2:33:00::),vie#1(vie%2:33:00::),contend#5(contend%2:33:00::)","compete for something; engage in a contest; measure oneself against others","","compete,vie,contend"
"ostracize",202470462,,"verb.social",41,"v","ostracize#2(ostracize%2:41:00::),ostracise#2(ostracise%2:41:00::)","avoid speaking to or dealing with","Ever since I spoke up, my colleagues ostracize me","ostracize,ostracise",2,21,"entail",200813177,"verb.communication",32,"v","avoid#1(avoid%2:32:00::)","stay clear from; keep away from; keep out of the way of someone or something","Her former friends now avoid her","avoid"
"rake",201309428,,"verb.contact",35,"v","rake#5(rake%2:35:00::)","gather with a rake","rake leaves","rake",5,21,"entail",201310735,"verb.contact",35,"v","scrape#1(scrape%2:35:00::),grate#5(grate%2:35:01::)","scratch repeatedly","The cat scraped at the armchair","scrape,grate"
"light up",201202513,,"verb.consumption",34,"v","fire up#2(fire_up%2:34:00::),light#2(light%2:34:00::),light up#5(light_up%2:34:00::)","begin to smoke","After the meal, some of the diners lit up","fire up,light,light up",5,21,"entail",201200733,"verb.consumption",34,"v","smoke#1(smoke%2:34:00::)","inhale and exhale smoke from cigarettes, cigars, pipes","We never smoked marijuana|Do you smoke?","smoke"
"queue up",202039932,,"verb.motion",38,"v","queue#1(queue%2:38:00::),queue up#1(queue_up%2:38:00::),line up#3(line_up%2:38:01::)","form a queue, form a line, stand in line","Customers lined up in front of the store","queue,queue up,line up",1,21,"entail",202643261,"verb.stative",42,"v","wait#1(wait%2:42:00::)","stay in one place and anticipate or expect something","I had to wait on line for an hour to get the tickets","wait"
"endure",202623441,4,"verb.stative",42,"v","live on#1(live_on%2:42:00::),survive#1(survive%2:42:01::),last#2(last%2:42:01::),endure#3(endure%2:42:00::),live#3(live%2:42:04::),hold out#5(hold_out%2:42:00::),hold up#5(hold_up%2:42:00::),go#15(go%2:42:14::)","continue to live and avoid dying","We went without water and food for 3 days|These superstitions survive in the backwaters of America|how long can a person last without food and water?|One crash victim died, the other lived|The race car driver lived through several very serious accidents","live on,survive,last,endure,live,hold out,hold up,go",3,21,"entail",202619455,"verb.stative",42,"v","live#5(live%2:42:00::),be#11(be%2:42:01::)","have life, be alive","My grandfather lived until the end of war|Our great leader is no more","live,be"
"metabolize",201200382,1,"verb.consumption",34,"v","metabolize#1(metabolize%2:34:00::),metabolise#1(metabolise%2:34:00::)","produce by metabolism","","metabolize,metabolise",1,21,"entail",201199970,"verb.consumption",34,"v","digest#1(digest%2:34:00::)","convert food into absorbable substances","I cannot digest milk products","digest"
"knead",201235296,,"verb.contact",35,"v","massage#1(massage%2:35:00::),rub down#2(rub_down%2:35:01::),knead#2(knead%2:35:01::)","manually manipulate (someone's body), usually for medicinal or relaxation purposes","She rubbed down her child with a sponge","massage,rub down,knead",2,21,"entail",201252203,"verb.contact",35,"v","rub#1(rub%2:35:00::)","move over something with pressure","rub my hands|rub oil into her skin","rub"
